word,length,fre,pmi,entropy
好好的,3,0.00012061582996614141,3.0349108951300248,2.304619384820671
打听,2,0.00012923124639229437,3.813101662051341,2.3034884952192693
并且,2,8.615416426152958e-05,4.35757591339311,2.3025850929940455
这么办,3,8.615416426152958e-05,4.130083478684561,2.3025850929940455
嘴里,2,8.615416426152958e-05,3.1273958662388783,2.3025850929940455
哆嗦,2,0.00018953916137536507,8.570914898457891,2.299612816248364
黑暗,2,0.00017230832852305916,6.421798899441703,2.2899515160332604
三天,2,0.00015507749567075324,3.0432108830850977,2.289272964317816
一片,2,0.00018953916137536507,3.3667606425768737,2.282849083960731
没想到,3,0.00017230832852305916,3.8528219536956696,2.276422685805818
牲口,2,0.00015507749567075324,6.008299264342575,2.2742409307317693
谣言,2,9.476958068768254e-05,7.900757236122645,2.2718685126965625
任何人,3,9.476958068768254e-05,3.9418183679897583,2.2718685126965625
夏太太,3,0.0001033849971138355,5.5145580030874655,2.253857589601352
左先生,3,0.0001033849971138355,5.066860131356028,2.253857589601352
没办法,3,0.0001033849971138355,3.7474614380378433,2.253857589601352
挣钱,2,0.00013784666281844733,4.394257480027715,2.252728336819822
遇到,2,0.00013784666281844733,3.853735891306887,2.252728336819822
没法,2,0.0002670779092107417,3.4801466684104962,2.2520459621301687
这种,2,0.0002498470763584358,3.758297372396712,2.2484932924338468
注意,2,0.00012923124639229437,5.930559710127033,2.2459520807289133
急于,2,0.00011200041353998845,5.284445782457163,2.245035274126178
对于,2,0.00011200041353998845,4.4388300082529435,2.245035274126178
当作,2,0.00012061582996614141,3.596781937737375,2.2429732264381474
成家,2,0.00012061582996614141,3.1246674587008476,2.242973226438147
认识,2,0.00018092374494921211,7.143798542817746,2.238941108704779
辆车,2,0.0005427712348476364,4.3611094859744215,2.2384407985291825
看了看,3,0.00014646207924460028,4.297820211809434,2.231606951608935
谁也不,3,0.00014646207924460028,3.0916695481834844,2.231606951608935
委屈,2,0.0002498470763584358,8.19622144901648,2.2254090484878417
决定,2,0.00023261624350612986,5.979385903191643,2.216228098485001
凉风,2,0.00012923124639229437,5.747553850844687,2.2110688711446103
讨厌,2,0.0001033849971138355,8.078438413360097,2.2102535776209735
生命,2,0.0001033849971138355,3.7217295866705054,2.2102535776209735
静静的,3,0.0001033849971138355,3.0883995800810107,2.2102535776209735
曹宅,2,0.00018953916137536507,5.647353504313006,2.2088551326456582
经验,2,0.00019815457780151803,6.473115235038457,2.2086392785133713
疲乏,2,0.00012061582996614141,8.634587993319034,2.2055983590263937
天桥,2,0.00012061582996614141,4.2901087321280675,2.2055983590263937
整个的,3,0.00012061582996614141,3.168442287754547,2.2055983590263937
感情,2,0.00012061582996614141,5.867203098954279,2.2055983590263932
只剩下,3,0.00011200041353998845,5.117049875879884,2.2047854169135204
之后,2,0.00011200041353998845,5.052400790310777,2.2047854169135204
惯了,2,0.00011200041353998845,3.347596164166127,2.2047854169135204
害怕,2,7.753874783537662e-05,5.358118119666073,2.1972245773362196
他真想,3,7.753874783537662e-05,3.3658265455103553,2.1972245773362196
不要紧,3,7.753874783537662e-05,3.3029786418506917,2.1972245773362196
时常,2,7.753874783537662e-05,3.2649250208423175,2.1972245773362196
半天,2,0.0003446166570461183,4.2239268252467665,2.1944237070719526
年轻,2,0.00024123165993228282,5.394621274373099,2.1924947825854106
小孩,2,0.0002240008270799769,4.528968399654874,2.1924049165959176
告诉你,3,0.00013784666281844733,4.370726982617521,2.1873223188492537
先生,2,0.0018006220330659681,5.368953834770744,2.176825877592657
显出,2,0.00012923124639229437,4.021257422400059,2.1761856615603072
四十,2,0.00014646207924460028,3.7501590620353333,2.1700483464601645
胡涂,2,8.615416426152958e-05,7.661923469065348,2.1639556568820564
背后,2,8.615416426152958e-05,4.877047902832916,2.1639556568820564
感到,2,0.00017230832852305916,4.180063678856327,2.1639556568820564
抱着,2,8.615416426152958e-05,3.731859064623688,2.1639556568820564
省得,2,8.615416426152958e-05,3.717110640814211,2.1639556568820564
一顿,2,8.615416426152958e-05,3.2974259491758096,2.1639556568820564
憋闷,2,9.476958068768254e-05,7.643120342102252,2.1458417525947544
忘掉,2,9.476958068768254e-05,6.653141894436938,2.1458417525947544
杨妈,2,9.476958068768254e-05,5.98302659331577,2.1458417525947544
可怜,2,9.476958068768254e-05,4.559682488129155,2.1458417525947544
曹太太,3,9.476958068768254e-05,4.296777225795195,2.1458417525947544
时间,2,9.476958068768254e-05,3.448353909869963,2.1458417525947544
那辆车,3,9.476958068768254e-05,3.367067155989235,2.1458417525947544
因此,2,9.476958068768254e-05,4.987625554768029,2.145841752594754
轻轻的,3,9.476958068768254e-05,3.0814309107649174,2.145841752594754
左右,2,0.00012061582996614141,7.472302609789782,2.143952200643869
后面,2,0.00011200041353998845,3.8056079888019134,2.1383972463477248
说完,2,0.00011200041353998845,3.024809126266609,2.1383972463477248
高个子,3,0.0001033849971138355,4.224162230144275,2.138333059508028
面前,2,0.0001033849971138355,3.9108763767706973,2.138333059508028
找到了,3,0.0001033849971138355,3.016239028211684,2.138333059508028
休息,2,0.0001033849971138355,8.106609290326794,2.1383330595080277
家伙,2,0.0001033849971138355,4.494340938584698,2.1383330595080277
一齐,2,0.0001033849971138355,3.022989103474049,2.1383330595080277
必须,2,0.00018953916137536507,6.251529574223522,2.1291644734880486
铺盖,2,0.00024123165993228282,7.373456775153149,2.1273405704250625
车厂,2,0.00018092374494921211,3.6591516757323213,2.1203261969768294
主义,2,0.00014646207924460028,6.303153781335547,2.1192809219098505
不敢再,3,0.00014646207924460028,3.7025786305064576,2.1192809219098505
任何,2,0.00023261624350612986,7.092990214492077,2.1135396272909355
块钱,2,0.0005083095691430246,4.357145095550589,2.1133399580498575
全身,2,0.00012061582996614141,3.8709068992307065,2.1065773332321154
十二,2,0.00012061582996614141,3.6253377409954397,2.1065773332321154
渐渐,2,0.00013784666281844733,7.381825024823666,2.1006789212792607
打扮,2,0.00013784666281844733,6.0483731450781555,2.1006789212792607
侦探,2,0.00024123165993228282,8.043347093548828,2.1000255450116243
颜色,2,9.476958068768254e-05,7.654624166583736,2.0982737395252498
拉包月,3,9.476958068768254e-05,4.918219450648186,2.0982737395252498
嘱咐,2,0.00011200041353998845,8.948792050047228,2.098147389135067
玩艺,2,0.00011200041353998845,7.647655497267643,2.098147389135067
门口,2,0.00011200041353998845,3.542810700411676,2.098147389135067
需要,2,0.0001033849971138355,5.528559308819559,2.094729047527649
舍不得,3,0.0001033849971138355,4.848512752305312,2.094729047527649
当然,2,0.0001033849971138355,3.222941941463994,2.094729047527649
顺着,2,0.0001033849971138355,3.120949982300715,2.094729047527649
穿上,2,0.0001033849971138355,3.044014257299827,2.094729047527649
随便,2,0.00017230832852305916,5.193017160623789,2.094640938826062
思想,2,0.00017230832852305916,3.8350953097004337,2.094640938826062
清楚,2,0.000206769994227671,6.804084812272362,2.0918448196509005
找到,2,0.00023261624350612986,3.2981743736995046,2.08874543934893
告诉,2,0.00036184748989842423,7.41006652076571,2.087745499458097
开始,2,0.0001636929120969062,5.783779385638472,2.0815989915018633
以为,2,0.00037907832275073015,3.8269174503942014,2.081134957111843
四下里,3,6.892333140922366e-05,5.2288163146374895,2.0794415416798357
差不多,3,6.892333140922366e-05,5.127986844339263,2.0794415416798357
眼看着,3,6.892333140922366e-05,3.5087155133094785,2.0794415416798357
谁也没,3,6.892333140922366e-05,3.4755277225542014,2.0794415416798357
在街上,3,6.892333140922366e-05,3.0447830880366555,2.0794415416798357
在这里,3,6.892333140922366e-05,3.0193216447094553,2.0794415416798357
儿①,2,6.892333140922366e-05,3.003047607781489,2.0794415416798357
方法,2,0.00012923124639229437,4.4213076575607415,2.0791512728828505
三十,2,0.00025846249278458874,4.524678914555821,2.0707288882423267
世界,2,0.00018092374494921211,8.015637512121067,2.065815635390726
两三,2,0.00015507749567075324,3.935891749320119,2.0582239041311667
喝酒,2,0.00011200041353998845,5.280531883136026,2.0578975319224093
哪儿,2,0.00024123165993228282,3.509553570402964,2.0505150321144856
许多,2,0.00042215540488149493,4.9299169305771695,2.0461014515295224
唯恐,2,7.753874783537662e-05,7.68539582525049,2.0431918705451206
彼此,2,7.753874783537662e-05,7.457264732425242,2.0431918705451206
结果,2,7.753874783537662e-05,7.177073331702618,2.0431918705451206
设若,2,7.753874783537662e-05,6.976744458154579,2.0431918705451206
盼望,2,7.753874783537662e-05,6.875391963894292,2.0431918705451206
年纪,2,7.753874783537662e-05,6.6057115464679,2.0431918705451206
对付,2,7.753874783537662e-05,6.086008248669891,2.0431918705451206
准知道,3,7.753874783537662e-05,5.044554373841731,2.0431918705451206
紧跟着,3,7.753874783537662e-05,4.373712950796083,2.0431918705451206
